Date,Name,Year,Letterboxd URI,Rating
2025-10-01,Thunderbolts*,2025,https://boxd.it/BfbQ,4
2025-10-02,Caught Stealing,2025,https://boxd.it/LnyS,3.5
2025-10-04,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,3.5
2025-10-07,On Becoming a Guinea Fowl,2024,https://boxd.it/EXzS,4.5
2025-10-08,Warfare,2025,https://boxd.it/LbRo,3
2025-10-11,BLUE EYE SAMURAI,2023,https://boxd.it/JH9k,4.5
2025-10-13,BlacKkKlansman,2018,https://boxd.it/hxL8,4
2025-10-13,Sorry to Bother You,2018,https://boxd.it/f21E,4
2025-10-14,RRR,2022,https://boxd.it/ljDs,4
2025-10-15,Judas and the Black Messiah,2021,https://boxd.it/lsew,4
2025-10-16,When Harry Met Sally...,1989,https://boxd.it/29W2,2.5
2025-10-17,Heat,1995,https://boxd.it/2bg8,4.5
2025-10-18,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,4
2025-10-19,Michael Jackson's Thriller,1983,https://boxd.it/3e76,5
2025-10-21,"Sorry, Baby",2025,https://boxd.it/JKNi,3.5
2025-10-22,The Long Walk,2025,https://boxd.it/mic8,3.5
2025-10-22,Ocean's Eleven,2001,https://boxd.it/2aZm,4
2025-10-24,Polytechnique,2009,https://boxd.it/1AMG,4
2025-10-24,Maelström,2000,https://boxd.it/1caI,3
2025-10-29,Together,2025,https://boxd.it/LdFE,4
2025-10-30,Fruitvale Station,2013,https://boxd.it/4VRy,3.5
2025-11-01,Barbarian,2022,https://boxd.it/yohi,4
2025-11-01,Donnie Darko,2001,https://boxd.it/2b2A,4.5
2025-11-03,Mulholland Drive,2001,https://boxd.it/297o,4.5
2025-11-04,GoodFellas,1990,https://boxd.it/29FA,4.5
2025-11-05,Black Swan,2010,https://boxd.it/Sw0,5
2025-11-06,Mad Max: Fury Road,2015,https://boxd.it/2DjO,5
2025-11-06,Whiplash,2014,https://boxd.it/7bQA,4
2025-11-06,Baby Driver,2017,https://boxd.it/bhF2,4
2025-11-08,Project X,2012,https://boxd.it/neO,4
2025-11-08,In Bruges,2008,https://boxd.it/20n8,4.5
2025-11-10,City of God,2002,https://boxd.it/2a2a,5
2025-11-15,Frankenstein,2025,https://boxd.it/Ecsg,4
2025-11-16,One Battle After Another,2025,https://boxd.it/DUHM,5
2025-11-24,Yi Yi,2000,https://boxd.it/1vCw,5
2025-12-05,All Her Fault,2025,https://boxd.it/YTd4,4
2025-12-06,Avatar,2009,https://boxd.it/1Efm,4.5
2025-12-08,Avatar: The Way of Water,2022,https://boxd.it/2E2E,4
2025-12-08,Eddington,2025,https://boxd.it/o6MC,4
2025-12-10,"Love, Death & Robots: Pop Squad",2021,https://boxd.it/vhLE,4
2025-12-13,Wake Up Dead Man,2025,https://boxd.it/uAKS,4
2025-12-18,Rye Lane,2023,https://boxd.it/DIyy,4
2025-12-23,Avatar: Fire and Ash,2025,https://boxd.it/2W7s,4
2025-12-24,Napoleon Dynamite,2004,https://boxd.it/20wu,4
2025-12-25,Bugonia,2025,https://boxd.it/qeWY,4
2025-12-30,The Holdovers,2023,https://boxd.it/vHza,4.5
2026-01-02,Stranger Things 5: The Finale,2025,https://boxd.it/YqXW,3.5
2026-01-06,Corpse Bride,2005,https://boxd.it/24WQ,4.5
2026-01-07,There Will Be Blood,2007,https://boxd.it/20Z2,4
2026-01-10,No Other Choice,2025,https://boxd.it/nKiA,4
2026-01-19,Taste of Cherry,1997,https://boxd.it/1m8W,4
2026-01-19,It Was Just an Accident,2025,https://boxd.it/TX2k,3.5
2026-01-20,Punch-Drunk Love,2002,https://boxd.it/20E4,4
2026-01-21,Waves,2019,https://boxd.it/jpmy,4.5
2026-01-22,28 Days Later,2002,https://boxd.it/2aXU,3.5
2026-01-24,Office Space,1999,https://boxd.it/28Em,3.5
2026-01-24,No Country for Old Men,2007,https://boxd.it/21ew,4.5
2026-01-30,Uncut Gems,2019,https://boxd.it/gXGc,4
2026-02-03,Fargo,1996,https://boxd.it/2aHM,3
2026-02-03,Devil in a Blue Dress,1995,https://boxd.it/204A,4.5
2026-02-04,Memories of Murder,2003,https://boxd.it/1TSo,4.5
2026-02-05,HIS & HERS,2026,https://boxd.it/103iK,3.5
2026-02-06,Arrival,2016,https://boxd.it/aNGk,5
2026-02-07,Hamnet,2025,https://boxd.it/woVy,4
2026-02-09,La Haine,1995,https://boxd.it/2as8,4
2026-02-13,Wonder Man,2026,https://boxd.it/10jdQ,4
2026-02-15,Marty Supreme,2025,https://boxd.it/Off0,4
